candidate_id	file	accepted_K20	candidate_truth	exact_edge_count	approximate_edge_count	edge_sets_identical	exact_only_edges	approximate_only_edges	exact_instance_ids	approximate_instance_ids
2023-05-25_0183:semantic:T030:A016:C00025	2023-05-25_0183	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00026	2023-05-25_0183	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00001	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:25	2023-05-25_0681:instance:25
2023-05-25_0681:semantic:T030:A016:C00002	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00003	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00004	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00005	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00006	2023-05-25_0681	1	weed	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00008	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00009	2023-05-25_0681	0	crop	0	2	0	0	2		2023-05-25_0681:instance:44;2023-05-25_0681:instance:45
2023-05-25_0681:semantic:T030:A016:C00011	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00012	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00013	2023-05-25_0681	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00014	2023-05-25_0681	1	weed	1	2	0	0	1	2023-05-25_0681:instance:30	2023-05-25_0681:instance:29;2023-05-25_0681:instance:30
2023-05-25_0681:semantic:T030:A016:C00015	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:39	2023-05-25_0681:instance:39
2023-05-25_0681:semantic:T030:A016:C00016	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:27	2023-05-25_0681:instance:27
2023-05-25_0681:semantic:T030:A016:C00020	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00021	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00022	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00023	2023-05-25_0681	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00024	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00025	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00026	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:21	2023-05-25_0681:instance:21
2023-05-25_0681:semantic:T030:A016:C00027	2023-05-25_0681	1	weed	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00028	2023-05-25_0681	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00029	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:59	2023-05-25_0681:instance:59
2023-05-25_0681:semantic:T030:A016:C00030	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:70	2023-05-25_0681:instance:70
2023-05-25_0681:semantic:T030:A016:C00031	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:63	2023-05-25_0681:instance:63
2023-05-25_0681:semantic:T030:A016:C00032	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:92	2023-05-25_0681:instance:92
2023-05-25_0681:semantic:T030:A016:C00033	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:69	2023-05-25_0681:instance:69
2023-05-25_0681:semantic:T030:A016:C00035	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:91	2023-05-25_0681:instance:91
2023-05-25_0681:semantic:T030:A016:C00036	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00037	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00038	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00039	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00040	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00041	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00042	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00043	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00044	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00045	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00046	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00047	2023-05-25_0681	0	crop	0	0	1	0	0		
2023-05-25_0681:semantic:T030:A016:C00048	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:86	2023-05-25_0681:instance:86
2023-05-25_0681:semantic:T030:A016:C00049	2023-05-25_0681	1	weed	2	2	1	0	0	2023-05-25_0681:instance:87;2023-05-25_0681:instance:88	2023-05-25_0681:instance:87;2023-05-25_0681:instance:88
2023-05-25_0681:semantic:T030:A016:C00050	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:78	2023-05-25_0681:instance:78
2023-05-25_0681:semantic:T030:A016:C00051	2023-05-25_0681	1	weed	1	1	1	0	0	2023-05-25_0681:instance:85	2023-05-25_0681:instance:85
2023-05-25_0681:semantic:T030:A016:C00052	2023-05-25_0681	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0681:instance:89
2023-05-25_0685:semantic:T030:A016:C00001	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:17	2023-05-25_0685:instance:17
2023-05-25_0685:semantic:T030:A016:C00004	2023-05-25_0685	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00005	2023-05-25_0685	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00007	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:5	2023-05-25_0685:instance:5
2023-05-25_0685:semantic:T030:A016:C00008	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:10	2023-05-25_0685:instance:10
2023-05-25_0685:semantic:T030:A016:C00010	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00011	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:22	2023-05-25_0685:instance:22
2023-05-25_0685:semantic:T030:A016:C00012	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00013	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00014	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00015	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:13	2023-05-25_0685:instance:13
2023-05-25_0685:semantic:T030:A016:C00017	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00018	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00019	2023-05-25_0685	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00020	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00021	2023-05-25_0685	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00022	2023-05-25_0685	1	weed	2	2	1	0	0	2023-05-25_0685:instance:134;2023-05-25_0685:instance:135	2023-05-25_0685:instance:134;2023-05-25_0685:instance:135
2023-05-25_0685:semantic:T030:A016:C00023	2023-05-25_0685	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00024	2023-05-25_0685	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00026	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:35	2023-05-25_0685:instance:35
2023-05-25_0685:semantic:T030:A016:C00027	2023-05-25_0685	1	weed	2	2	1	0	0	2023-05-25_0685:instance:37;2023-05-25_0685:instance:38	2023-05-25_0685:instance:37;2023-05-25_0685:instance:38
2023-05-25_0685:semantic:T030:A016:C00029	2023-05-25_0685	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0685:instance:34
2023-05-25_0685:semantic:T030:A016:C00030	2023-05-25_0685	0	ambiguous_or_background	0	1	0	0	1		2023-05-25_0685:instance:121
2023-05-25_0685:semantic:T030:A016:C00031	2023-05-25_0685	0	ambiguous_or_background	0	1	0	0	1		2023-05-25_0685:instance:125
2023-05-25_0685:semantic:T030:A016:C00032	2023-05-25_0685	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0685:instance:33
2023-05-25_0685:semantic:T030:A016:C00033	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00034	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00036	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00037	2023-05-25_0685	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00038	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00039	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00041	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00042	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00043	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:31	2023-05-25_0685:instance:31
2023-05-25_0685:semantic:T030:A016:C00044	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:46	2023-05-25_0685:instance:46
2023-05-25_0685:semantic:T030:A016:C00047	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:66	2023-05-25_0685:instance:66
2023-05-25_0685:semantic:T030:A016:C00048	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:67	2023-05-25_0685:instance:67
2023-05-25_0685:semantic:T030:A016:C00049	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:91	2023-05-25_0685:instance:91
2023-05-25_0685:semantic:T030:A016:C00050	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:65	2023-05-25_0685:instance:65
2023-05-25_0685:semantic:T030:A016:C00051	2023-05-25_0685	0	weed	1	2	0	0	1	2023-05-25_0685:instance:85	2023-05-25_0685:instance:85;2023-05-25_0685:instance:86
2023-05-25_0685:semantic:T030:A016:C00052	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:103	2023-05-25_0685:instance:103
2023-05-25_0685:semantic:T030:A016:C00053	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:64	2023-05-25_0685:instance:64
2023-05-25_0685:semantic:T030:A016:C00054	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:102	2023-05-25_0685:instance:102
2023-05-25_0685:semantic:T030:A016:C00055	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:93	2023-05-25_0685:instance:93
2023-05-25_0685:semantic:T030:A016:C00057	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:63	2023-05-25_0685:instance:63
2023-05-25_0685:semantic:T030:A016:C00058	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:73	2023-05-25_0685:instance:73
2023-05-25_0685:semantic:T030:A016:C00061	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:69	2023-05-25_0685:instance:69
2023-05-25_0685:semantic:T030:A016:C00062	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:89	2023-05-25_0685:instance:89
2023-05-25_0685:semantic:T030:A016:C00063	2023-05-25_0685	1	weed	2	2	1	0	0	2023-05-25_0685:instance:136;2023-05-25_0685:instance:137	2023-05-25_0685:instance:136;2023-05-25_0685:instance:137
2023-05-25_0685:semantic:T030:A016:C00064	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:101	2023-05-25_0685:instance:101
2023-05-25_0685:semantic:T030:A016:C00065	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:75	2023-05-25_0685:instance:75
2023-05-25_0685:semantic:T030:A016:C00066	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:76	2023-05-25_0685:instance:76
2023-05-25_0685:semantic:T030:A016:C00067	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:113	2023-05-25_0685:instance:113
2023-05-25_0685:semantic:T030:A016:C00068	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:104	2023-05-25_0685:instance:104
2023-05-25_0685:semantic:T030:A016:C00070	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:78	2023-05-25_0685:instance:78
2023-05-25_0685:semantic:T030:A016:C00071	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00072	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00073	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:128	2023-05-25_0685:instance:128
2023-05-25_0685:semantic:T030:A016:C00074	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00075	2023-05-25_0685	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00076	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00077	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00078	2023-05-25_0685	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00079	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00080	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00081	2023-05-25_0685	0	crop	0	0	1	0	0		
2023-05-25_0685:semantic:T030:A016:C00083	2023-05-25_0685	0	weed	1	1	1	0	0	2023-05-25_0685:instance:54	2023-05-25_0685:instance:54
2023-05-25_0685:semantic:T030:A016:C00084	2023-05-25_0685	1	weed	1	1	1	0	0	2023-05-25_0685:instance:60	2023-05-25_0685:instance:60
2023-05-25_0685:semantic:T030:A016:C00087	2023-05-25_0685	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0750:semantic:T030:A016:C00001	2023-05-25_0750	1	weed	1	1	1	0	0	2023-05-25_0750:instance:63	2023-05-25_0750:instance:63
2023-05-25_0750:semantic:T030:A016:C00002	2023-05-25_0750	1	weed	1	1	1	0	0	2023-05-25_0750:instance:65	2023-05-25_0750:instance:65
2023-05-25_0750:semantic:T030:A016:C00003	2023-05-25_0750	1	weed	1	1	1	0	0	2023-05-25_0750:instance:58	2023-05-25_0750:instance:58
2023-05-25_0750:semantic:T030:A016:C00004	2023-05-25_0750	1	weed	1	1	1	0	0	2023-05-25_0750:instance:68	2023-05-25_0750:instance:68
2023-05-25_0750:semantic:T030:A016:C00005	2023-05-25_0750	1	crop	0	0	1	0	0		
2023-05-25_0750:semantic:T030:A016:C00006	2023-05-25_0750	1	weed	1	1	1	0	0	2023-05-25_0750:instance:79	2023-05-25_0750:instance:79
2023-05-25_0750:semantic:T030:A016:C00007	2023-05-25_0750	0	crop	0	0	1	0	0		
